icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e80338,1753529077,,1753536109,SBGR,SKU600  ,,,8426,286,0,2
e8061d,1753528980,,1753535989,SBGR,JAT772  ,,,8023,263,0,2
e4a1bf,1753533882,,1753535427,SBGR,PSJBD   ,,,7889,294,0,2
a27c78,1753502080,KIAH,1753535098,SBGR,UAL62   ,7953.0,503.0,9340,332,0,2
e8026d,1753494217,,1753534916,SBGR,LAN758  ,,,8163,271,0,2
e49adf,1753532923,,1753534722,SBGR,PPKMV   ,,,9237,340,0,2
e80601,1753532161,,1753534577,SBGR,JAT770  ,,,9151,332,0,2
e49c04,1753531500,SBGL,1753534136,SBGR,TAM3369 ,2549.0,69.0,8087,271,1,2
e4926f,1753532430,,1753533613,SBGR,GLO1839 ,,,8253,271,0,2
e4949f,1753527754,,1753533344,SBGR,AZU9527 ,,,9166,340,0,2
e48053,1753525660,,1753532929,SBGR,TAM8133 ,,,7746,256,0,2
ab30e6,1753498884,KDFW,1753532683,SBGR,AAL963  ,1808.0,66.0,9201,332,3,2
e48273,1753527594,SBBR,1753532412,SBGR,TAM4684 ,1295.0,75.0,7779,248,1,2
e4a177,1753529589,,1753532181,SBGR,PPADP   ,,,7464,241,0,2
c02ebd,1753498697,CYUL,1753531780,SBGR,ACA96   ,954.0,35.0,9140,332,0,2
c080dd,1753496889,CYYZ,1753531284,SBGR,ACA90   ,1942.0,36.0,8155,271,1,2
e49050,1753527977,SBRJ,1753530951,SBGR,AZU4645 ,3709.0,583.0,7858,263,1,2
e47f21,1753522307,,1753530532,SBGR,LTG6573 ,,,8247,286,0,2
e49aa9,1753518662,,1753530419,SBGR,TAM3229 ,,,8168,279,0,2
e4a125,1753528137,,1753530119,SBGR,TAM4712 ,,,9465,355,0,2
e4988f,1753527840,,1753530039,SBGR,GLO1635 ,,,7779,256,0,2
e49c06,1753527661,,1753529924,SBGR,TAM3447 ,,,7481,248,0,2
e49c07,1753526073,,1753529637,SBGR,TAM3127 ,,,8013,279,0,2
e47fa8,1753517261,,1753529488,SBGR,GLO1617 ,,,7999,271,0,2
e49ed4,1753523662,SBBR,1753529387,SBGR,TAM3260 ,1190.0,82.0,8012,271,1,2
e48808,1753526461,,1753529258,SBGR,TAM3415 ,,,7849,256,0,2
e495db,1753523749,SBVT,1753529143,SBGR,TAM3358 ,858.0,41.0,9437,355,0,2
e482c6,1753527073,,1753529027,SBGR,TAM4675 ,,,8173,279,0,2
e485b0,1753515986,SBFZ,1753528881,SBGR,TAM3455 ,1023.0,35.0,7584,241,1,2
e8043d,1753520146,SAEZ,1753528337,SBGR,LAN749  ,518.0,20.0,7678,256,2,2
e49ef4,1753525899,,1753528235,SBGR,GLO1175 ,,,7871,263,0,2
e48199,1753526523,,1753528088,SBGR,TAM3423 ,,,7708,256,0,2
e48dc5,1753526375,,1753527821,SBGR,TAM3379 ,,,7752,248,0,2
e49dde,1753524884,SBGL,1753527704,SBGR,TAM3341 ,2412.0,31.0,7795,271,1,2
e497e6,1753509633,SBFZ,1753527569,SBGR,GLO9022 ,800.0,5.0,7994,271,1,2
e48fb5,1753522548,SBVT,1753527237,SBGR,GLO1309 ,1208.0,41.0,9481,355,0,2
e49eee,1753520081,,1753527012,SBGR,GLO1952 ,,,7677,256,0,2
e49aaa,1753525062,,1753526788,SBGR,TAM3283 ,,,8028,279,0,2
e48986,1753524412,,1753526609,SBGR,GLO1241 ,,,8015,279,0,2
e48e09,1753521660,SBBR,1753526458,SBGR,GLO1409 ,2677.0,0.0,7907,271,1,2
e8046f,1753497296,KMCO,1753525996,SBGR,TAM8127 ,2851.0,100.0,9201,340,0,2
e48e92,1753523762,,1753525856,SBGR,GLO1101 ,,,8403,294,0,2
e49697,1753515184,,1753525617,SBGR,TAM8005 ,,,8134,286,0,2
e48b00,1753522320,,1753525491,SBGR,GLO1497 ,,,9472,363,0,2
e48043,1753520354,SBBR,1753525430,SBGR,TAM3657 ,1359.0,29.0,7849,271,1,2
e49ef3,1753521614,SSKT,1753525301,SBGR,GLO1316 ,6427.0,603.0,7837,263,1,2
e49bfe,1753514823,,1753525201,SBGR,TAM3445 ,,,7682,263,0,2
e48c4c,1753516471,,1753525108,SBGR,TAM4755 ,,,7837,263,0,2
e49baf,1753499749,SBBR,1753524964,SBGR,GLO9004 ,2314.0,122.0,7864,271,1,2
0d0bba,1753493951,MMMX,1753524864,SBGR,AMX014  ,3311.0,86.0,7638,256,0,2
e4952d,1753517556,,1753524641,SBGR,GLO1609 ,,,8053,279,0,2
e49475,1753522164,,1753524547,SBGR,GLO1267 ,,,7815,263,0,2
e80336,1753483104,,1753524427,SBGR,SKX5564 ,,,8144,294,0,2
e49511,1753515160,,1753524292,SBGR,GLO1513 ,,,7604,256,0,2
e49591,1753521848,,1753524179,SBGR,AZU2888 ,,,8240,294,0,2
e4988b,1753515394,,1753524084,SBGR,GLO1631 ,,,7836,271,0,2
e480a2,1753518219,,1753523998,SBGR,LAP1303 ,,,8431,302,0,2
e495d0,1753521883,,1753523891,SBGR,AZU4153 ,,,8060,286,0,2
aa92fc,1753492213,KEWR,1753523737,SBGR,UAL149  ,1772.0,63.0,9141,347,1,2
e8045b,1753491945,KJFK,1753523668,SBGR,TAM8181 ,819.0,3.0,7773,263,0,2
e48395,1753510937,SBFZ,1753523458,SBGR,GLO1529 ,718.0,2.0,7793,271,1,2
e49b52,1753469518,,1753523267,SBGR,GLO7731 ,,,7772,263,0,2
e4894e,1753519226,SBFL,1753523182,SBGR,TAM3511 ,5731.0,612.0,5967,180,1,2
e49ef0,1753512250,,1753523020,SBGR,GLO1543 ,,,7858,271,0,2
e482c5,1753510171,SBFZ,1753522918,SBGR,TAM3317 ,1067.0,20.0,8082,279,1,2
e49ed5,1753520485,,1753522829,SBGR,TAM3397 ,,,7826,279,0,2
e48b65,1753493253,SBGR,1753522700,SBGR,TAM3295 ,9023.0,500.0,8235,286,0,2
4952ae,1753487422,LPPT,1753522546,SBGR,TAP087  ,3576.0,381.0,8223,294,2,2
e4a12a,1753520714,,1753522439,SBGR,TAM3199 ,,,8379,309,0,2
e4819c,1753519963,,1753522311,SBGR,TAM3479 ,,,9378,347,0,2
e495d3,1753520658,,1753522218,SBGR,PSFBL   ,,,7841,286,0,2
e490b1,1753519840,,1753522133,SBGR,AZU2734 ,,,7859,271,0,2
e48b66,1753488456,SBBR,1753522015,SBGR,TAM3494 ,2575.0,39.0,9125,340,1,2
e49c02,1753519426,,1753521921,SBGR,TAM4659 ,,,7946,286,0,2
e48be3,1753512006,SBIZ,1753521797,SBGR,TAM3435 ,1173.0,112.0,9215,340,2,2
e4805d,1753520237,,1753521688,SBGR,TAM3561 ,,,8685,317,0,2
e4a12b,1753519162,,1753521611,SBGR,TAM3691 ,,,7708,271,0,2
e0b244,1753513624,SABE,1753521448,SBGR,ARG1314 ,565.0,35.0,8239,294,0,2
e49c03,1753518528,SBGL,1753521349,SBGR,TAM3339 ,2674.0,46.0,8238,302,1,2
e49c05,1753519714,,1753521257,SBGR,TAM3375 ,,,7821,279,0,2
e48fcb,1753519296,,1753521149,SBGR,TAM3293 ,,,7844,263,0,2
e49027,1753517685,,1753521027,SBGR,PRDLN   ,,,8020,286,0,2
e49221,1753512390,,1753520905,SBGR,TAM3565 ,,,9184,340,0,2
0c20e0,1753502170,,1753520805,SBGR,CMP759  ,,,7793,271,0,2
e49c04,1753509571,,1753520696,SBGR,TAM3227 ,,,8321,309,0,2
e491a2,1753517687,,1753520590,SBGR,TAM3547 ,,,7601,248,0,2
e486c1,1753518875,,1753520457,SBGR,TAM3221 ,,,8233,286,0,2
e4a130,1753500429,SBGR,1753520363,SBGR,TAM3269 ,3166.0,195.0,7686,271,0,2
407799,1753480340,EGLL,1753520218,SBGR,BAW247  ,1493.0,96.0,7773,279,3,2
e490ef,1753515360,SBVT,1753520066,SBGR,TAM4537 ,769.0,33.0,9427,355,0,2
e4894f,1753518378,,1753519993,SBGR,TAM3359 ,,,8152,294,0,2
e80270,1753509313,,1753519876,SBGR,LPE2428 ,,,9142,340,0,2
e49c08,1753512990,,1753519749,SBGR,TAM3197 ,,,8102,294,0,2
394a14,1753480181,LFPG,1753519585,SBGR,AFR454  ,2040.0,154.0,8284,302,3,2
e497f1,1753518311,SDBN,1753519424,SBGR,PSFGN   ,10619.0,1252.0,8070,302,0,2
e481d8,1753512360,SABE,1753519278,SBGR,GLO7045 ,174.0,51.0,9193,347,0,2
e491ae,1753513636,,1753519155,SBGR,TAM3347 ,,,7800,263,0,2
e48e55,1753512187,,1753519006,SBGR,TAM3391 ,,,7666,263,0,2
e4950d,1753516868,,1753518799,SBGR,GLO1421 ,,,8028,286,0,2
344502,1753482405,LEMD,1753518653,SBGR,IBE0267 ,6852.0,198.0,8719,317,1,2
aaf1fa,1753485659,KATL,1753518448,SBGR,DAL105  ,1066.0,61.0,9371,355,1,2
e80475,1753487146,MMMX,1753518037,SBGR,TAM8113 ,2641.0,4.0,8081,286,0,2
e80452,1753480986,LEMD,1753517873,SBGR,LAN715  ,7993.0,198.0,8071,286,1,2
e49c00,1753500166,SBGR,1753517719,SBGR,TAM3394 ,3363.0,218.0,8357,309,0,2
aac33e,1753500147,SKBO,1753517578,SBGR,AVA085  ,759.0,125.0,7831,271,1,2
4cae80,1753475664,LIRF,1753517420,SBGR,ITY674  ,2045.0,156.0,7873,279,0,2
e80476,1753477655,KLAX,1753517254,SBGR,TAM8087 ,3064.0,213.0,8134,286,2,2
346291,1753482056,LEMD,1753517124,SBGR,AEA057  ,8239.0,191.0,7869,279,1,2
4b191a,1753476688,LSZH,1753516975,SBGR,SWR92   ,773.0,42.0,8238,294,1,2
e4818c,1753489745,KMIA,1753516544,SBGR,TAM8191 ,3399.0,203.0,8294,302,1,2
e48989,1753514928,,1753516419,SBGR,GLO1487 ,,,9167,340,0,2
e8047a,1753497067,SKBO,1753516318,SBGR,ARE4903 ,1122.0,56.0,7831,279,0,2
e48ba8,1753476525,EGLL,1753516181,SBGR,TAM8085 ,1673.0,35.0,8139,294,3,2
e49f44,1753498592,SBGR,1753516088,SBGR,AZU2751 ,5732.0,393.0,8027,294,0,2
3c4b24,1753476006,EDDF,1753515955,SBGR,DLH506  ,4964.0,18.0,7779,279,1,2
a9b9e3,1753488133,KMIA,1753515703,SBGR,AAL929  ,3216.0,180.0,8022,286,1,2
e8024a,1753511559,,1753515576,SBGR,LAN604  ,,,8124,294,0,2
e48189,1753474121,EDDF,1753515162,SBGR,TAM8071 ,4362.0,3.0,7907,286,1,2
e49247,1753508041,,1753514660,SBGR,TAM9546 ,,,8082,279,0,2
0c217a,1753493798,,1753512232,SBGR,CMP743  ,,,7751,271,0,2
e48007,1753503750,,1753511878,SBGR,GLO9610 ,,,8378,302,0,2
e480dc,1753502132,,1753510567,SBGR,GLO9642 ,,,7804,271,0,2
4bb101,1753502070,SAEZ,1753509064,SBGR,THY16   ,503.0,43.0,8023,286,2,2
e0b111,1753499640,SABE,1753506947,SBGR,FBZ5800 ,46.0,35.0,7837,271,0,2
e8033e,1753499949,,1753506774,SBGR,SKU604  ,,,7935,279,0,2
e4a2a9,1753503061,,1753504518,SBGR,TTL5684 ,,,8091,286,0,2
e80421,1753475824,KMIA,1753504199,SBGR,LAE1828 ,3360.0,218.0,9054,340,1,2
0ac9c3,1753485460,SKBO,1753503939,SBGR,AVA161  ,1919.0,141.0,7800,271,0,2
e49c01,1753497273,,1753503596,SBGR,TAM8097 ,,,8045,286,0,2
040075,1753496657,SAEZ,1753503396,SBGR,ETH507  ,447.0,12.0,7876,279,2,2
e4997c,1753497604,,1753503232,SBGR,TAM4753 ,,,7837,271,0,2
e48274,1753494952,SABE,1753502279,SBGR,TAM8141 ,796.0,2.0,8459,302,0,2
e4920e,1753498756,SSKT,1753502062,SBGR,TTL5680 ,6917.0,1037.0,8742,317,1,2
e492f8,1753496581,SBBR,1753501535,SBGR,SID9304 ,1740.0,67.0,6479,256,1,2
e4a12c,1753496597,,1753501073,SBGR,TAM8037 ,,,7816,271,0,2
e480db,1753491293,,1753500835,SBGR,GLO9644 ,,,8149,286,0,2
0ac9ef,1753482025,SKBO,1753500499,SBGR,AVA249  ,982.0,11.0,8124,286,1,2
0c218b,1753481816,,1753500147,SBGR,CMP800  ,,,8080,286,0,2
e49763,1753474911,,1753499896,SBGR,TAM3857 ,,,8219,294,0,2
e485af,1753487031,,1753499725,SBGR,TAM3886 ,,,8030,271,0,2
0c210c,1753459001,KMCO,1753499508,SBGR,CMP725  ,2963.0,222.0,7787,263,0,2
e49512,1753497394,,1753498763,SBGR,AZU4320 ,,,7705,271,0,2
e07582,1753491162,SABE,1753498332,SBGR,ARG1250 ,1445.0,93.0,9466,347,0,2
aba800,1753471917,KMIA,1753498199,SBGR,GTI8228 ,3328.0,134.0,8722,317,1,2
e49c03,1753485546,SBFZ,1753497285,SBGR,TAM3507 ,755.0,2.0,7828,271,1,2
4952b2,1753462585,LPPT,1753497056,SBGR,TAP083  ,3200.0,381.0,8779,317,2,2
e48f04,1753494076,SBGL,1753496609,SBGR,GLO2099 ,2710.0,31.0,8043,279,1,2
e4950d,1753488872,,1753496056,SBGR,GLO7832 ,,,9115,332,0,2
e48b64,1753493544,,1753495483,SBGR,TAM4747 ,,,8164,271,0,2
e49f44,1753475321,,1753494970,SBGR,AZU4212 ,,,8087,279,0,2
e4898a,1753493280,,1753494864,SBGR,GLO1441 ,,,9210,340,0,2
e49bfd,1753464624,SBFZ,1753494694,SBGR,TAM3525 ,880.0,13.0,7708,263,1,2
e4999f,1753492951,,1753494405,SBGR,TAM4769 ,,,9132,340,0,2
e48809,1753488731,SBBR,1753493472,SBGR,TAM3258 ,1404.0,21.0,8135,271,1,2
e47f21,1753485400,,1753493300,SBGR,LTG6567 ,,,8252,294,0,2
e49bcb,1753484954,,1753493175,SBGR,TOT9104 ,,,8159,286,0,2
e495db,1753491734,,1753493031,SBGR,TAM3465 ,,,8283,294,0,2
e49511,1753479728,SBFZ,1753492529,SBGR,GLO1619 ,772.0,5.0,8325,294,1,2
e48dc1,1753484294,,1753492347,SBGR,TAM3569 ,,,8437,302,0,2
e49b53,1753487511,SBBR,1753492272,SBGR,GLO1419 ,2679.0,206.0,8019,271,1,2
e495b2,1753489733,,1753492139,SBGR,AZU2774 ,,,9440,355,0,2
e481d8,1753490431,,1753492067,SBGR,GLO1633 ,,,7876,271,0,2
e4950e,1753488994,SBGL,1753491949,SBGR,GLO1965 ,2510.0,46.0,7887,263,1,2
e48e55,1753478954,,1753491832,SBGR,TAM3204 ,,,8104,279,0,2
e4925f,1753488485,SBGL,1753491719,SBGR,TAM3875 ,2738.0,23.0,8595,286,1,2
e49405,1753479305,,1753491592,SBGR,GLO1539 ,,,7879,263,0,2
e48c4c,1753480445,,1753491405,SBGR,TAM3233 ,,,7971,263,0,2
e49c06,1753489770,,1753491291,SBGR,TAM3557 ,,,7800,271,0,2
e495d0,1753489714,,1753491204,SBGR,AZU4878 ,,,7720,263,0,2
e47ed1,1753478215,,1753491081,SBGR,GLO1422 ,,,9485,347,0,2
e49295,1753488878,,1753491012,SBGR,AZU4453 ,,,7613,256,0,2
e491ae,1753489325,,1753490897,SBGR,TAM3745 ,,,9394,340,0,2
e49c05,1753488379,,1753490818,SBGR,TAM4526 ,,,7217,241,0,2
e49c00,1753485725,SBVT,1753490608,SBGR,TAM3335 ,700.0,26.0,8531,309,0,2
e48be3,1753486974,,1753490518,SBGR,TAM3211 ,,,8210,286,0,2
e48044,1753487512,,1753490407,SBGR,TAM3277 ,,,8469,302,0,2
e49aa9,1753488640,,1753490334,SBGR,TAM4530 ,,,8238,294,0,2
e49ed5,1753477989,,1753490158,SBGR,TAM3471 ,,,8476,309,0,2
e495c6,1753487918,,1753490051,SBGR,GLO2127 ,,,8171,279,0,2
e4988d,1753480640,SABE,1753489919,SBGR,GLO7685 ,1044.0,24.0,7900,263,0,2
e485b0,1753481630,,1753489793,SBGR,TAM3297 ,,,7853,256,0,2
e4a130,1753485994,SBFL,1753489699,SBGR,TAM3307 ,12783.0,1541.0,7465,256,0,2
e499d8,1753486874,,1753489552,SBGR,PSZAA   ,,,8258,302,0,2
e49ef3,1753487995,,1753489463,SBGR,GLO1621 ,,,8296,294,0,2
e49c02,1753486511,SBGL,1753489358,SBGR,TAM3349 ,2341.0,46.0,7481,256,1,2
e48053,1753486206,,1753489194,SBGR,TAM3400 ,,,7557,256,0,2
e49509,1753487249,,1753489066,SBGR,PRNFA   ,,,7848,279,0,2
e49475,1753486538,,1753488988,SBGR,GLO1181 ,,,7705,263,0,2
e4894f,1753486386,,1753488899,SBGR,TAM4714 ,,,8300,302,0,2
e48e92,1753487428,,1753488773,SBGR,GLO9125 ,,,9210,340,0,2
e491af,1753473103,,1753488650,SBGR,TAM8117 ,,,9220,332,0,2
e482c6,1753485764,,1753488526,SBGR,TAM3131 ,,,9190,332,0,2
e48014,1753483574,SBBR,1753488449,SBGR,TAM3256 ,1300.0,29.0,7838,271,1,2
e49c08,1753479718,,1753488283,SBGR,TAM8247 ,,,7837,279,0,2
e49ef4,1753483395,SBBR,1753488190,SBGR,GLO1306 ,1299.0,44.0,7999,279,1,2
e4a12b,1753485015,,1753488074,SBGR,TAM3411 ,,,7854,279,0,2
e480f9,1753479453,SABE,1753487960,SBGR,TAM8035 ,1560.0,154.0,8434,294,0,2
0c218d,1753437985,,1753487815,SBGR,CMP701  ,,,9470,355,0,2
e495cc,1753483452,SBFL,1753487608,SBGR,GLO1251 ,12231.0,1816.0,7777,263,0,2
e4805d,1753475544,SBFZ,1753487490,SBGR,TAM3319 ,1255.0,81.0,9453,355,1,2
e48ffa,1753484827,,1753487185,SBGR,TAM3291 ,,,8421,294,0,2
e4988b,1753481379,SBVT,1753487082,SBGR,GLO1415 ,837.0,26.0,9130,340,0,2
e48e46,1753485123,,1753486996,SBGR,TAM3355 ,,,9206,347,0,2
e48135,1753481409,,1753486910,SBGR,LAP1301 ,,,9045,340,0,2
e491a2,1753483873,,1753486795,SBGR,TAM4778 ,,,8495,294,0,2
e4894e,1753483326,,1753486495,SBGR,TAM3251 ,,,8559,309,0,2
e48e09,1753480910,,1753486404,SBGR,GLO1533 ,,,8741,317,0,2
e48ba7,1753445103,LIMC,1753486116,SBGR,TAM8073 ,1194.0,20.0,8444,302,2,2
e49698,1753483290,,1753486022,SBGR,TAM4709 ,,,9028,340,0,2
e49bfe,1753481220,,1753485924,SBGR,TAM3677 ,,,9148,347,0,2
e4952d,1753483652,,1753485828,SBGR,GLO1183 ,,,8258,294,0,2
e8046d,1753449785,FAOR,1753485716,SBGR,TAM8059 ,1347.0,5.0,9163,340,3,2
e49957,1753469149,,1753485630,SBGR,GLO1339 ,,,8693,317,0,2
4952a7,1753450029,LPPT,1753485265,SBGR,TAP089  ,2847.0,312.0,9222,355,2,2
e4a125,1753482882,,1753485197,SBGR,TAM3305 ,,,9440,363,0,2
e4818a,1753443437,LIRF,1753485067,SBGR,TAM8121 ,1781.0,95.0,8406,302,0,2
e8046c,1753448684,LEMD,1753484941,SBGR,TAM8075 ,8472.0,229.0,9066,340,1,2
e80477,1753465514,SKBO,1753484853,SBGR,ARE4907 ,780.0,18.0,9486,355,1,2
e4997c,1753476772,,1753484524,SBGR,TAM3195 ,,,8268,302,0,2
e48fcb,1753465412,SBFZ,1753484413,SBGR,TAM3613 ,801.0,28.0,8432,294,1,2
e494a5,1753554304,,1753570598,SBGL,GORDO57 ,,,4343,143,0,5
e48014,1753566933,,1753570377,SBGL,TAM3603 ,,,5775,212,0,5
3965b2,1753531895,LFPG,1753570209,SBGL,AFR442  ,2065.0,215.0,4559,151,3,5
e48dae,1753567405,SBSP,1753569853,SBGL,AZU4880 ,696.0,62.0,6412,303,1,5
e0814b,1753560690,SAEZ,1753569666,SBGL,JES3808 ,520.0,10.0,4421,136,2,5
e48ce6,1753567304,SBSP,1753569520,SBGL,TAM3930 ,670.0,24.0,5425,433,1,5
e4966d,1753554631,,1753569497,SBGL,AZU8715 ,,,3738,105,0,5
e49405,1753558205,SBFZ,1753569297,SBGL,GLO2095 ,912.0,13.0,4376,136,1,5
484415,1753528334,EHAM,1753568949,SBGL,KLM705  ,2005.0,4.0,4345,143,0,5
e48db1,1753555171,SBSP,1753568143,SBGL,GLO1466 ,1010.0,9.0,6096,227,1,5
e0958f,1753559121,SABE,1753567978,SBGL,JES3814 ,653.0,35.0,3751,105,0,5
e47e7c,1753563186,SBBR,1753567545,SBGL,GLO1733 ,4374.0,359.0,5310,433,1,5
e495cc,1753565468,,1753567354,SBGL,GLO1924 ,,,4896,159,0,5
e495fc,1753564890,SBKP,1753567229,SBGL,AZU2629 ,5705.0,435.0,5787,357,0,5
e49ef1,1753564095,SBVT,1753567191,SBGL,GLO9293 ,834.0,41.0,3722,98,0,5
e497e6,1753563576,,1753566929,SBGL,GLO2079 ,,,3299,82,0,5
e495d8,1753563858,SBKP,1753566592,SBGL,AZU4037 ,4550.0,390.0,3061,67,0,5
e482c6,1753564446,,1753566347,SBGL,TAM3874 ,,,4259,128,0,5
e49958,1753561770,,1753565879,SBGL,GLO2049 ,,,3704,105,0,5
e493d1,1753561081,,1753565519,SBGL,AZU4625 ,,,3725,113,0,5
e49eef,1753556430,SABE,1753565065,SBGL,GLO7671 ,1075.0,17.0,4354,136,0,5
e49270,1753559734,,1753564134,SBGL,GLO2019 ,,,8317,349,0,5
e4956e,1753561820,SBSP,1753563977,SBGL,GLO9584 ,540.0,39.0,3284,82,1,5
e4894e,1753559166,SBBR,1753563841,SBGL,TAM3799 ,1838.0,99.0,6063,326,1,5
e48ef4,1753560161,,1753563478,SBGL,PRBJA   ,,,5947,349,0,5
e48dfe,1753561035,SBSP,1753562951,SBGL,PPSCN   ,241.0,55.0,6121,326,1,5
e4827c,1753560365,SBSP,1753562656,SBGL,TAM3924 ,557.0,32.0,6768,281,1,5
4952a8,1753528308,LPPT,1753562605,SBGL,TAP073  ,2621.0,259.0,4445,151,2,5
344344,1753526324,LEMD,1753562437,SBGL,IBE0269 ,6930.0,107.0,3217,75,1,5
e49fed,1753560463,,1753562387,SBGL,PSXMV   ,,,20280,235,0,1
e4988d,1753557625,SBBR,1753562173,SBGL,GLO2072 ,2659.0,122.0,4306,143,1,5
e48274,1753550619,SBFZ,1753561991,SBGL,TAM3517 ,682.0,28.0,3983,121,1,5
e4924a,1753559862,SBGR,1753561819,SBGL,TAM4548 ,7711.0,637.0,4368,128,0,5
e49632,1753523592,,1753561559,SBGL,PSTAR   ,,,4284,143,0,5
e48db0,1753559634,SBSP,1753561531,SBGL,GLO1036 ,883.0,9.0,6525,517,1,5
e8062b,1753539552,SBGL,1753561254,SBGL,JAT762  ,2464.0,39.0,4396,151,1,5
e0b059,1753552451,SABE,1753561019,SBGL,FBZ5902 ,456.0,58.0,3758,113,0,5
e8033b,1753552143,,1753560851,SBGL,SKU622  ,,,3662,113,0,5
e072d3,1753552111,SABE,1753560615,SBGL,ARG1256 ,461.0,58.0,3329,90,0,5
e497e5,1753551365,SAEZ,1753560289,SBGL,GLO7041 ,1049.0,12.0,2721,60,2,5
e49528,1753556670,SBVT,1753560058,SBGL,GLO1951 ,846.0,33.0,4173,136,0,5
e49fb5,1753556077,,1753559426,SBGL,AZU2663 ,,,3323,90,0,5
e495f8,1753556284,,1753558731,SBGL,PSDFJ   ,,,6962,372,0,5
e4956f,1753531030,SBBR,1753558438,SBGL,GLO9095 ,2397.0,8.0,3982,121,1,5
e490b1,1753556002,SBSP,1753558422,SBGL,AZU6047 ,892.0,55.0,6932,448,1,5
e482c0,1753553421,SBBR,1753558076,SBGL,GLO1758 ,2900.0,191.0,6006,357,1,5
e48502,1753556101,,1753557958,SBGL,GLO2175 ,,,8867,380,0,5
e80604,1753549232,SAEZ,1753557834,SBGL,JES3818 ,3375.0,505.0,4282,143,2,5
e4999d,1753553017,,1753557560,SBGL,TAM4669 ,,,3972,128,0,5
e495fb,1753553648,SSKT,1753557229,SBGL,GLO2093 ,4999.0,801.0,3386,90,1,5
e48198,1753554333,SBSP,1753556544,SBGL,TAM3918 ,854.0,1.0,6799,288,1,5
e4943f,1753552451,SBBI,1753555887,SBGL,GLO1883 ,9131.0,744.0,3008,75,3,5
896209,1753504850,OMDB,1753555674,SBGL,UAE247  ,5470.0,400.0,3312,90,0,5
e49708,1753551281,,1753554329,SBGL,PSKNG   ,,,6143,357,0,5
e48e94,1753549141,,1753553757,SBGL,GLO1150 ,,,4377,143,0,5
e47fa8,1753549192,,1753553603,SBGL,GLO9011 ,,,3323,90,0,5
e497e7,1753541771,SBFZ,1753553009,SBGL,GLO2031 ,902.0,9.0,3287,82,1,5
e495cc,1753528852,SBGL,1753552824,SBGL,GLO2055 ,2545.0,61.0,4393,136,1,5
e49240,1753544799,SBMT,1753552668,SBGL,PPCGP   ,14394.0,131.0,2298,8,0,5
e48c30,1753550431,SBSP,1753552582,SBGL,GLO1026 ,1220.0,21.0,6519,471,1,5
e07584,1753544791,SABE,1753552576,SBGL,ARG1264 ,1245.0,70.0,4504,143,0,5
e49eec,1753544094,SAEZ,1753552289,SBGL,GLO7657 ,669.0,50.0,3843,113,2,5
e48f6a,1753550000,,1753551989,SBGL,TAM3366 ,,,3785,98,0,5
e495fc,1753549476,SBKP,1753551820,SBGL,AZU2786 ,5652.0,413.0,6371,319,0,5
e47ed1,1753550894,,1753551743,SBGL,GLO9732 ,,,4192,128,0,5
4007f9,1753543131,SAEZ,1753551254,SBGL,BAW248  ,599.0,73.0,3758,113,2,5
e4974b,1753549133,SBSP,1753551238,SBGL,PSNTS   ,240.0,62.0,6054,341,1,5
e47f51,1753549093,,1753550993,SBGL,GLO9168 ,,,3323,82,0,5
e49406,1753546260,,1753550457,SBGL,GLO1684 ,,,3744,105,0,5
e48014,1753545888,,1753550301,SBGL,TAM3693 ,,,3263,90,0,5
e491a3,1753547430,SBSP,1753549543,SBGL,TAM3914 ,890.0,17.0,6849,402,1,5
e49a8a,1753546746,SBGR,1753548673,SBGL,AZU4311 ,11694.0,843.0,6317,319,0,5
e48c05,1753543804,,1753548268,SBGL,GLO2047 ,,,4396,136,0,5
e47e7c,1753543570,SBBR,1753548198,SBGL,GLO1722 ,4462.0,313.0,5352,509,1,5
e4894f,1753546178,SBGR,1753547997,SBGL,TAM3974 ,12375.0,904.0,5995,326,0,5
e4950e,1753544730,SBVT,1753547806,SBGL,GLO1973 ,782.0,41.0,3254,75,0,5
e4956e,1753530704,SBBR,1753547333,SBGL,GLO2037 ,2480.0,52.0,3549,90,1,5
e49889,1753531021,SBBR,1753547148,SBGL,GLO2001 ,1891.0,0.0,4294,128,1,5
e49526,1753543740,,1753546979,SBGL,GLO1723 ,,,3305,82,0,5
e48e46,1753544043,,1753546759,SBGL,TAM3685 ,,,3042,67,0,5
e49763,1753544624,,1753546492,SBGL,TAM4672 ,,,3253,82,0,5
e49528,1753540922,,1753545207,SBGL,GLO1871 ,,,3943,105,0,5
e4851b,1753542337,SBSP,1753544505,SBGL,TAM3876 ,496.0,55.0,9422,654,1,5
e48ce6,1753540686,SBVT,1753543604,SBGL,TAM3667 ,906.0,18.0,4360,121,0,5
e48394,1753540432,,1753542869,SBGL,GLO2061 ,,,3778,90,0,5
e8044a,1753534866,,1753542566,SBGL,LAN774  ,,,3780,82,0,5
e47ffe,1753538764,,1753542147,SBGL,TAM3963 ,,,3258,60,0,5
e0b149,1753533847,SABE,1753541847,SBGL,ARG1266 ,914.0,32.0,4415,128,0,5
e48423,1753537288,,1753541455,SBGL,PRAJT   ,,,7165,349,0,5
