icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
e48c03,1753521188,SBSP,1753526203,SBBR,GLO1402 ,1743.0,74.0,2307,75,1,2
e48045,1753520861,SBGL,1753526186,SBBR,TAM3791 ,2608.0,8.0,693,98,1,2
e48f69,1753525245,,1753526095,SBBR,TAM3725 ,,,2118,90,0,2
e48618,1753499340,SBGL,1753526039,SBBR,GLO9214 ,2800.0,54.0,703,82,1,2
e491b1,1753509445,SBFZ,1753525859,SBBR,TAM3811 ,714.0,13.0,989,75,1,2
e48f6a,1753521394,,1753525857,SBBR,TAM3433 ,,,2277,82,0,2
e49bfc,1753519817,,1753525779,SBBR,TAM3313 ,,,962,82,0,2
e48989,1753521153,SBGR,1753525773,SBBR,GLO1492 ,10305.0,904.0,2206,82,0,2
e4956f,1753521246,,1753525660,SBBR,GLO1785 ,,,2249,75,0,2
e49caa,1753518412,,1753525619,SBBR,GLO1767 ,,,791,105,0,2
e49523,1753516580,SBFZ,1753525545,SBBR,GLO1707 ,815.0,2.0,1045,90,1,2
e491af,1753521032,,1753525514,SBBR,TAM3967 ,,,2142,82,0,2
e491a1,1753516415,SBFZ,1753525436,SBBR,TAM3739 ,783.0,13.0,743,90,1,2
e4956e,1753521316,,1753525289,SBBR,GLO1829 ,,,2233,75,0,2
e48ce7,1753519530,,1753525276,SBBR,TAM3501 ,,,1204,75,0,2
e491b0,1753508688,SBFZ,1753525108,SBBR,TAM3123 ,237.0,20.0,855,90,1,2
e490c2,1753496711,SBFZ,1753524826,SBBR,TAM3663 ,708.0,13.0,733,90,1,2
e4943e,1753520180,,1753524558,SBBR,GLO1729 ,,,2109,67,0,2
e48135,1753520229,,1753524433,SBBR,TAM3775 ,,,2113,67,0,2
e4952e,1753518445,,1753524203,SBBR,GLO1477 ,,,813,75,0,2
e490ee,1753492208,SBGL,1753524015,SBBR,TAM3495 ,2703.0,52.0,696,90,1,2
e49527,1753498038,KMIA,1753522763,SBBR,GLO7749 ,2953.0,111.0,715,90,1,2
e4a3f0,1753518018,SBGR,1753522313,SBBR,GLO9636 ,12499.0,911.0,1059,90,0,2
e49889,1753512139,SABE,1753522027,SBBR,GLO7061 ,93.0,51.0,1190,82,0,2
e4950e,1753513104,,1753521830,SBBR,GLO9297 ,,,768,98,0,2
e49b51,1753505045,SKBO,1753521179,SBBR,GLO8243 ,1142.0,117.0,2243,60,1,2
e49890,1753516522,,1753520756,SBBR,GLO9005 ,,,2109,67,0,2
e49eeb,1753494626,KMCO,1753520627,SBBR,GLO7601 ,3213.0,138.0,2220,67,0,2
e492f8,1753513864,SBGR,1753518327,SBBR,SID9305 ,7442.0,469.0,734,75,0,2
e49ed4,1753512377,,1753518113,SBBR,TAM3675 ,,,955,75,0,2
e48ffb,1753511057,,1753516702,SBBR,TAM3669 ,,,801,75,0,2
e48043,1753507456,,1753516328,SBBR,TAM3993 ,,,763,75,0,2
e8044c,1753509614,,1753515929,SBBR,LAN790  ,,,751,82,0,2
e49640,1753499414,SBKP,1753509047,SBBR,PSAEF   ,2076.0,153.0,1336,67,0,2
e48dc1,1753498778,SBGR,1753503059,SBBR,TAM3656 ,7829.0,462.0,1003,82,0,2
e48ffa,1753498266,SBGR,1753502560,SBBR,TAM3259 ,5227.0,431.0,753,90,0,2
e49608,1753489403,SBGR,1753502004,SBBR,AZU2881 ,11931.0,904.0,1006,75,0,2
0c2069,1753464889,,1753499067,SBBR,CMP205  ,,,1554,82,0,2
e494a6,1753493143,SBGL,1753498733,SBBR,ZEUS58  ,2677.0,21.0,835,67,1,2
e48e09,1753494259,SBGR,1753498434,SBBR,GLO1418 ,10810.0,736.0,2296,67,0,2
e49af4,1753492887,SBKP,1753496964,SBBR,AZU6595 ,2399.0,237.0,791,82,0,2
e49764,1753492186,SBSP,1753496830,SBBR,TAM3022 ,120.0,62.0,1023,75,1,2
