icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
ab47bc,N826GA  ,United States,1786574223,1786574223,-46.5205,-22.9983,3177.54,False,141.02,181.67,-7.8,,3368.04,,False,0
e4a0e0,PSEUF   ,Brazil,1786574179,1786574179,-67.9116,-1.2509,13106.4,False,216.23,317.12,0.0,,13876.02,,False,0
e4a153,PSDDO   ,Brazil,1786574223,1786574223,-55.6983,-15.2399,4960.62,False,93.18,62.73,6.83,,5273.04,,False,0
e4a142,PSFME   ,Brazil,1786574222,1786574223,-46.7808,-19.9401,7924.8,False,123.58,217.73,0.0,,8397.24,,False,0
e4a131,TAM3785 ,Brazil,1786574215,1786574215,-46.6593,-23.6258,,True,0.32,236.25,,,,,False,0
0ac9ee,AVA184  ,Colombia,1786574223,1786574223,-58.117,-13.4527,10965.18,False,223.83,311.27,0.0,,11704.32,,False,0
0ac9c2,AVA146  ,Colombia,1786574223,1786574223,-55.9899,-12.791,10980.42,False,229.09,312.18,0.0,,11711.94,,False,0
e4943f,GLO1675 ,Brazil,1786574223,1786574223,-45.6615,-21.6206,10972.8,False,213.81,216.29,0.0,,11620.5,,False,0
e4808c,TAM3163 ,Brazil,1786574179,1786574185,-48.4538,-27.0167,11285.22,False,251.71,35.77,0.33,,11841.48,,False,0
e492b0,AZU4013 ,Brazil,1786574223,1786574223,-53.8647,-14.1109,11277.6,False,229.16,152.74,0.0,,12001.5,,False,0
e492aa,AZU8745 ,Brazil,1786574143,1786574143,-57.4509,-33.3003,11887.2,False,234.73,35.82,0.0,,12222.48,0430,False,0
e49368,AZU8747 ,Brazil,1786574223,1786574223,-45.4825,-22.08,11894.82,False,246.05,29.57,-0.33,,12580.62,,False,0
e49371,PRPGA   ,Brazil,1786574223,1786574223,-47.7236,-23.1944,7924.8,False,119.36,269.51,0.0,,8359.14,,False,0
e49374,PRRDG   ,Brazil,1786574222,1786574223,-41.9081,-22.5474,12192.0,False,204.5,212.57,0.0,,12839.7,,False,0
e48043,TAM4532 ,Brazil,1786574223,1786574223,-46.1332,-23.6402,5212.08,False,203.84,83.92,12.68,,5494.02,,False,0
4951ee,TAP109  ,Portugal,1786574220,1786574220,-46.8571,-24.0771,12192.0,False,220.52,208.42,0.0,,12832.08,,False,0
4951ef,TAP058  ,Portugal,1786574223,1786574223,-43.8524,-8.3916,11277.6,False,235.4,30.32,0.0,,12024.36,,False,0
e49390,AZU2799 ,Brazil,1786574223,1786574223,-42.8501,-15.1834,11590.02,False,231.45,206.39,0.0,,12306.3,,False,0
e4932a,AZU4298 ,Brazil,1786574222,1786574223,-44.2685,-15.3327,11574.78,False,230.2,186.03,0.0,,12306.3,,False,0
e49311,AZU4277 ,Brazil,1786574222,1786574222,-46.6647,-23.6147,784.86,False,70.63,146.89,-3.9,,853.44,,False,0
ac858a,AVA197  ,United States,1786574223,1786574223,-69.2182,-3.4614,10058.4,False,245.52,130.67,0.0,,10759.44,,False,0
e491c3,GLO2177 ,Brazil,1786574223,1786574223,-43.4377,-22.6971,1158.24,False,113.75,125.06,-9.1,,1249.68,,False,0
e491ad,,Brazil,1786574147,1786574147,-60.0975,-30.0743,10652.76,False,250.66,69.71,0.0,,,,False,0
e4924a,TAM3834 ,Brazil,1786574222,1786574222,-45.0209,-21.6771,9151.62,False,257.23,36.3,6.5,,9707.88,,False,0
e49221,        ,Brazil,1786574215,1786574216,-46.6591,-23.6261,,True,2.06,236.25,,,,,False,0
